impl_name,scenario,N,ns_per_op
go_slice_int64,MIXED_R50W50,1000000,39.2299
numpy_int64,MIXED_R50W50,1000000,836.5808
py_array_q,MIXED_R50W50,1000000,752.5262
py_list,MIXED_R50W50,1000000,838.0232
rust_vec_i64,MIXED_R50W50,1000000,16.856
sec3,MIXED_R50W50,1000000,75.9668
sec4,MIXED_R50W50,1000000,71.0601
std_vector,MIXED_R50W50,1000000,36.685
std_vector_direct,MIXED_R50W50,1000000,20.568
go_slice_int64,MIXED_R50W50,10000000,61.1735
numpy_int64,MIXED_R50W50,10000000,805.128
py_array_q,MIXED_R50W50,10000000,707.7978
py_list,MIXED_R50W50,10000000,752.1897
rust_vec_i64,MIXED_R50W50,10000000,21.4802
sec3,MIXED_R50W50,10000000,85.6762
sec4,MIXED_R50W50,10000000,193.8107
std_vector,MIXED_R50W50,10000000,43.4084
std_vector_direct,MIXED_R50W50,10000000,29.2264
go_slice_int64,MIXED_R50W50,100000000,93.1649
numpy_int64,MIXED_R50W50,100000000,1024.275
py_array_q,MIXED_R50W50,100000000,875.673
py_list,MIXED_R50W50,100000000,750.6041
rust_vec_i64,MIXED_R50W50,100000000,31.5546
sec3,MIXED_R50W50,100000000,70.9693
sec4,MIXED_R50W50,100000000,188.4821
std_vector,MIXED_R50W50,100000000,86.4916
std_vector_direct,MIXED_R50W50,100000000,40.4479
go_slice_int64,MIXED_R70W30,1000,0.0
numpy_int64,MIXED_R70W30,1000,922.2
py_array_q,MIXED_R70W30,1000,458.0
py_list,MIXED_R70W30,1000,407.2
rust_vec_i64,MIXED_R70W30,1000,5.1
sec3,MIXED_R70W30,1000,23.4
sec4,MIXED_R70W30,1000,25.7
std_vector,MIXED_R70W30,1000,9.1
std_vector_direct,MIXED_R70W30,1000,6.9
go_slice_int64,MIXED_R70W30,10000,0.0
numpy_int64,MIXED_R70W30,10000,724.54
py_array_q,MIXED_R70W30,10000,507.41
py_list,MIXED_R70W30,10000,384.6
rust_vec_i64,MIXED_R70W30,10000,5.34
sec3,MIXED_R70W30,10000,35.12
sec4,MIXED_R70W30,10000,28.54
std_vector,MIXED_R70W30,10000,11.35
std_vector_direct,MIXED_R70W30,10000,6.21
go_slice_int64,MIXED_R70W30,100000,20.001
numpy_int64,MIXED_R70W30,100000,551.053
py_array_q,MIXED_R70W30,100000,445.11
py_list,MIXED_R70W30,100000,524.441
rust_vec_i64,MIXED_R70W30,100000,5.126
sec3,MIXED_R70W30,100000,30.483
sec4,MIXED_R70W30,100000,30.959
std_vector,MIXED_R70W30,100000,12.25
std_vector_direct,MIXED_R70W30,100000,5.617
go_slice_int64,MIXED_R70W30,1000000,35.5535
numpy_int64,MIXED_R70W30,1000000,700.7416
py_array_q,MIXED_R70W30,1000000,622.35
py_list,MIXED_R70W30,1000000,869.0041
rust_vec_i64,MIXED_R70W30,1000000,15.4584
sec3,MIXED_R70W30,1000000,62.2374
sec4,MIXED_R70W30,1000000,71.1446
std_vector,MIXED_R70W30,1000000,30.9668
std_vector_direct,MIXED_R70W30,1000000,16.1801
go_slice_int64,MIXED_R70W30,10000000,47.677
numpy_int64,MIXED_R70W30,10000000,697.0768
py_array_q,MIXED_R70W30,10000000,603.7274
py_list,MIXED_R70W30,10000000,623.6119
rust_vec_i64,MIXED_R70W30,10000000,19.8087
sec3,MIXED_R70W30,10000000,76.0032
sec4,MIXED_R70W30,10000000,67.1513
std_vector,MIXED_R70W30,10000000,33.7023
std_vector_direct,MIXED_R70W30,10000000,24.2299
go_slice_int64,MIXED_R70W30,100000000,80.1298
numpy_int64,MIXED_R70W30,100000000,796.3838
py_array_q,MIXED_R70W30,100000000,654.2112
py_list,MIXED_R70W30,100000000,619.6828
rust_vec_i64,MIXED_R70W30,100000000,25.4903
sec3,MIXED_R70W30,100000000,60.2732
sec4,MIXED_R70W30,100000000,69.7786
std_vector,MIXED_R70W30,100000000,44.5842
std_vector_direct,MIXED_R70W30,100000000,42.9303
go_slice_int64,MIXED_R80W20,1000,0.0
numpy_int64,MIXED_R80W20,1000,545.2
py_array_q,MIXED_R80W20,1000,373.7
py_list,MIXED_R80W20,1000,325.8
rust_vec_i64,MIXED_R80W20,1000,4.2
sec3,MIXED_R80W20,1000,24.2
sec4,MIXED_R80W20,1000,26.4
std_vector,MIXED_R80W20,1000,9.1
std_vector_direct,MIXED_R80W20,1000,5.8
go_slice_int64,MIXED_R80W20,10000,0.0
numpy_int64,MIXED_R80W20,10000,501.34
py_array_q,MIXED_R80W20,10000,398.67
py_list,MIXED_R80W20,10000,306.03
rust_vec_i64,MIXED_R80W20,10000,4.11
sec3,MIXED_R80W20,10000,30.35
sec4,MIXED_R80W20,10000,22.56
std_vector,MIXED_R80W20,10000,9.09
std_vector_direct,MIXED_R80W20,10000,4.43
go_slice_int64,MIXED_R80W20,100000,10.022
numpy_int64,MIXED_R80W20,100000,613.235
